"voltage","millis"
"10","1460918338136"
"82","1460918338643"
"70","1460918339146"
"91","1460918339650"
"41","1460918340154"
"82","1460918340657"
"62","1460918341160"
"80","1460918341663"
"12","1460918342166"
"45","1460918342671"
"84","1460918343174"
"71","1460918343677"
"76","1460918344180"
"66","1460918344682"
"29","1460918345185"
"57","1460918345687"
"42","1460918346190"
"29","1460918346693"
"3","1460918347195"
"58","1460918347700"
"60","1460918348203"
"62","1460918348705"
"63","1460918349209"
"19","1460918349713"
"95","1460918350215"
"75","1460918350721"
"98","1460918351223"
"89","1460918351726"
"92","1460918352229"
"22","1460918352731"
"52","1460918353233"
"26","1460918353737"
"78","1460918354239"
"69","1460918354742"
"47","1460918355247"
"37","1460918355750"
"0","1460918356252"
"34","1460918356755"
"10","1460918357257"
"70","1460918357760"
"62","1460918358263"
"47","1460918358766"
"33","1460918359269"
"73","1460918359772"
"69","1460918360276"
"16","1460918360779"
"93","1460918361282"
"36","1460918361784"
"80","1460918362287"
"32","1460918362790"
"17","1460918363294"
"53","1460918363798"
"95","1460918364300"
"38","1460918364803"
"92","1460918365305"
"7","1460918365809"
"19","1460918366312"
"90","1460918366815"
"44","1460918367318"
"81","1460918367821"
"64","1460918368325"
"75","1460918368827"
"78","1460918369330"
"75","1460918369833"
"94","1460918370336"
"32","1460918370841"
"67","1460918371346"
"17","1460918371850"
"15","1460918372352"
"7","1460918372856"
"75","1460918373358"
"45","1460918373861"
"87","1460918374364"
"87","1460918374867"
"87","1460918375370"
"28","1460918375873"
"19","1460918376377"
"39","1460918376881"
"10","1460918377384"
"37","1460918377887"
"96","1460918378390"
"23","1460918378893"
"56","1460918379396"
"5","1460918379899"
"99","1460918380404"
"95","1460918380907"
"48","1460918381410"
"33","1460918381913"
"24","1460918382416"
"6","1460918382920"
"82","1460918383423"
"92","1460918383926"
"67","1460918384428"
"18","1460918384931"
"15","1460918385434"
"7","1460918385936"
"96","1460918386439"
"7","1460918386941"
"29","1460918387444"
"1","1460918387948"
"49","1460918388451"
"74","1460918388954"
"80","1460918389457"
"45","1460918389960"
"10","1460918390463"
"7","1460918390969"
"15","1460918391472"
"10","1460918391975"
"28","1460918392478"
"44","1460918392981"
"25","1460918393483"
"54","1460918393986"
"27","1460918394489"
"59","1460918394992"
"43","1460918395496"
"65","1460918395999"
"30","1460918396502"
"57","1460918397005"
"47","1460918397508"
"92","1460918398011"
"67","1460918398514"
"98","1460918399016"
"13","1460918399518"
"28","1460918400021"
"28","1460918400528"
"81","1460918401033"
"57","1460918401536"
"84","1460918402038"
"89","1460918402543"
"21","1460918403046"
"5","1460918403549"
"64","1460918404052"
"33","1460918404555"
"1","1460918405058"
"75","1460918405561"
"16","1460918406064"
"36","1460918406567"
"70","1460918407069"
"42","1460918407574"
"31","1460918408077"
"14","1460918408581"
"27","1460918409083"
"35","1460918409586"
"93","1460918410088"
"92","1460918410593"
"95","1460918411095"
"51","1460918411597"
"30","1460918412101"
"49","1460918412604"
"27","1460918413107"
"47","1460918413610"
"25","1460918414113"
"89","1460918414615"
"74","1460918415118"
"95","1460918415623"
"30","1460918416127"
"1","1460918416632"
"70","1460918417134"
"93","1460918417637"
"80","1460918418140"
"40","1460918418642"
"16","1460918419145"
"44","1460918419648"
"76","1460918420153"
"95","1460918420656"
"24","1460918421159"
"26","1460918421661"
"98","1460918422164"
"6","1460918422667"
"87","1460918423170"
