"voltage","millis"
"24","1460917434469"
"60","1460917434977"
"30","1460917435481"
"58","1460917435984"
"59","1460917436488"
"83","1460917436991"
"80","1460917437496"
"7","1460917437999"
"80","1460917438502"
"17","1460917439004"
"31","1460917439507"
"39","1460917440010"
"19","1460917440513"
"34","1460917441016"
"53","1460917441519"
"70","1460917442022"
"74","1460917442525"
"90","1460917443029"
"20","1460917443532"
"40","1460917444036"
"39","1460917444538"
"52","1460917445044"
"69","1460917445546"
"50","1460917446049"
"99","1460917446552"
"17","1460917447056"
"5","1460917447558"
"45","1460917448062"
"29","1460917448565"
"46","1460917449067"
"88","1460917449570"
"6","1460917450074"
"31","1460917450577"
"68","1460917451080"
"2","1460917451583"
"42","1460917452086"
"69","1460917452589"
"18","1460917453092"
"81","1460917453595"
"99","1460917454098"
"9","1460917454601"
"89","1460917455104"
"32","1460917455607"
"28","1460917456111"
"21","1460917456614"
"90","1460917457116"
"25","1460917457619"
"50","1460917458123"
"73","1460917458627"
"65","1460917459132"
"11","1460917459635"
"82","1460917460137"
"30","1460917460640"
"39","1460917461142"
"74","1460917461645"
"27","1460917462150"
"93","1460917462653"
"9","1460917463156"
"77","1460917463659"
"78","1460917464162"
"89","1460917464664"
"73","1460917465168"
"8","1460917465671"
"93","1460917466174"
"22","1460917466677"
"40","1460917467179"
"31","1460917467682"
"4","1460917468185"
"70","1460917468687"
"3","1460917469190"
"20","1460917469693"
"53","1460917470196"
"46","1460917470700"
"0","1460917471203"
"99","1460917471706"
"0","1460917472208"
"71","1460917472712"
"9","1460917473216"
"84","1460917473719"
"70","1460917474221"
"34","1460917474723"
"43","1460917475227"
"34","1460917475729"
"49","1460917476231"
"21","1460917476734"
"5","1460917477237"
"5","1460917477740"
"35","1460917478243"
"2","1460917478751"
"84","1460917479253"
"24","1460917479757"
"61","1460917480260"
"41","1460917480763"
"36","1460917481265"
"70","1460917481767"
"16","1460917482270"
"34","1460917482773"
"90","1460917483278"
"58","1460917483780"
"47","1460917484283"
"89","1460917487809"
"9","1460917488313"
"88","1460917488818"
"75","1460917489321"
"19","1460917489826"
"48","1460917490329"
"9","1460917490833"
"87","1460917491336"
"51","1460917491840"
"46","1460917492344"
"63","1460917492848"
"50","1460917493351"
"96","1460917493853"
"36","1460917494357"
"92","1460917494860"
"57","1460917495362"
"93","1460917495866"
"11","1460917496369"
"29","1460917496875"
"35","1460917497378"
"77","1460917497883"
"66","1460917498386"
"59","1460917498889"
"30","1460917499392"
"71","1460917499894"
"44","1460917500397"
"52","1460917500902"
"66","1460917501406"
"13","1460917501908"
"26","1460917502411"
"32","1460917502916"
"61","1460917503419"
"34","1460917503922"
"58","1460917504425"
"39","1460917504928"
"62","1460917505430"
"19","1460917505934"
"3","1460917506436"
"24","1460917506939"
"0","1460917507442"
"85","1460917507945"
"32","1460917508448"
"62","1460917508952"
"93","1460917509455"
"63","1460917509957"
"34","1460917510460"
"47","1460917510965"
"79","1460917511469"
"33","1460917511971"
"38","1460917512474"
"4","1460917512977"
"47","1460917513480"
"2","1460917513983"
"18","1460917514486"
"8","1460917514988"
"73","1460917515491"
"36","1460917515996"
"83","1460917516498"
"70","1460917517001"
"62","1460917517504"
"37","1460917518006"
"63","1460917518509"
"7","1460917519012"
"64","1460917519515"
"64","1460917520018"
"18","1460917520521"
"96","1460917521025"
"53","1460917521530"
"72","1460917522033"
"42","1460917522536"
"42","1460917523041"
"0","1460917523546"
"27","1460917524049"
"64","1460917524552"
"64","1460917525055"
"48","1460917525558"
"86","1460917526061"
"94","1460917526564"
"84","1460917527067"
"42","1460917527570"
"53","1460917528074"
"16","1460917528577"
"22","1460917529079"
"22","1460917529583"
"65","1460917530086"
"6","1460917530588"
"72","1460917531093"
"15","1460917531595"
"20","1460917532098"
"67","1460917532601"
"34","1460917533104"
"85","1460917533607"
"57","1460917534109"
"39","1460917534612"
"38","1460917535114"
"25","1460917535617"
"54","1460917536123"
"39","1460917536628"
"39","1460917537130"
"68","1460917537633"
"40","1460917538136"
"99","1460917538639"
"82","1460917539142"
"9","1460917539644"
"60","1460917540147"
"17","1460917540649"
"71","1460917541153"
"8","1460917541656"
"6","1460917542159"
"62","1460917542661"
"36","1460917543164"
"10","1460917543668"
"63","1460917544171"
"34","1460917544674"
"85","1460917545177"
"25","1460917545680"
"24","1460917546182"
"1","1460917546685"
"92","1460917547187"
"17","1460917547689"
"47","1460917548192"
"31","1460917548695"
"94","1460917549199"
"60","1460917549702"
"22","1460917550205"
"87","1460917550707"
"92","1460917551210"
"5","1460917551713"
"29","1460917552216"
"11","1460917552719"
"81","1460917553221"
"84","1460917553724"
"95","1460917554227"
"39","1460917554729"
