"voltage","millis"
"45","1460917310975"
"85","1460917311483"
"2","1460917311986"
"68","1460917312489"
"0","1460917312991"
"64","1460917313497"
"43","1460917314002"
"54","1460917314504"
"63","1460917315007"
"22","1460917315510"
"50","1460917316014"
"40","1460917316517"
"53","1460917317020"
"83","1460917317523"
"88","1460917318027"
"81","1460917318530"
"83","1460917319033"
"20","1460917319536"
"97","1460917320040"
"8","1460917320544"
"43","1460917321047"
"44","1460917321550"
"95","1460917322053"
"95","1460917322556"
"0","1460917323060"
"15","1460917323563"
