"voltage","millis"
"17","1460920342715"
"81","1460920343223"
"32","1460920343726"
"63","1460920344229"
"31","1460920344732"
"79","1460920345236"
"65","1460920345740"
"73","1460920346243"
"55","1460920346748"
"34","1460920347251"
"69","1460920347755"
"60","1460920348258"
"76","1460920348761"
"57","1460920349264"
"7","1460920349767"
"54","1460920350270"
"7","1460920350773"
"1","1460920351278"
"73","1460920351781"
"95","1460920352283"
"35","1460920352786"
"51","1460920353288"
"43","1460920353793"
"58","1460920354301"
"58","1460920354804"
"14","1460920355306"
"84","1460920355809"
"82","1460920356312"
"49","1460920356814"
