"voltage","millis"
"34","1460916611199"
"82","1460916611710"
"77","1460916612213"
"54","1460916612720"
"98","1460916613226"
"66","1460916613731"
"30","1460916614237"
"52","1460916614740"
"37","1460916615244"
"28","1460916615747"
"95","1460916616250"
"51","1460916616753"
"96","1460916617257"
"91","1460916617760"
"59","1460916618262"
"38","1460916618765"
"9","1460916619269"
"37","1460916619772"
"57","1460916620278"
"19","1460916620781"
"15","1460916621285"
"65","1460916621788"
"0","1460916622294"
"13","1460916622797"
"64","1460916623300"
"18","1460916623803"
"14","1460916624306"
"35","1460916624809"
"50","1460916625314"
"21","1460916625817"
"16","1460916626319"
"50","1460916626822"
"97","1460916627327"
"68","1460916627830"
"15","1460916628333"
"86","1460916628835"
"64","1460916629340"
"30","1460916629842"
"53","1460916630346"
"91","1460916630849"
"56","1460916631352"
"68","1460916631855"
"60","1460916632357"
"4","1460916632862"
"82","1460916633365"
"96","1460916633867"
"40","1460916634370"
"67","1460916634875"
"26","1460916635377"
"95","1460916635879"
"57","1460916636382"
"94","1460916636885"
"32","1460916637387"
"23","1460916637891"
"49","1460916638394"
"2","1460916638897"
"74","1460916639399"
"64","1460916639903"
"53","1460916640406"
"6","1460916640909"
"5","1460916641412"
"57","1460916641915"
"88","1460916642419"
"27","1460916642922"
"29","1460916643425"
"4","1460916643928"
"13","1460916644431"
"33","1460916644934"
"30","1460916645436"
"25","1460916645939"
"24","1460916646442"
"28","1460916646944"
"91","1460916647448"
"7","1460916647951"
"62","1460916648453"
"26","1460916648957"
"59","1460916649460"
"46","1460916649963"
"42","1460916650468"
"8","1460916650971"
"10","1460916651475"
"27","1460916651977"
"9","1460916652481"
"38","1460916652983"
"13","1460916653486"
"61","1460916653989"
"6","1460916654492"
"10","1460916654996"
"68","1460916655499"
"13","1460916656002"
"24","1460916656506"
"67","1460916657008"
"55","1460916657511"
"16","1460916658014"
"72","1460916658516"
"61","1460916659019"
"50","1460916659522"
"86","1460916660026"
"40","1460916660529"
"50","1460916661032"
