"voltage","millis"
"7","1460917918437"
"11","1460917918944"
"86","1460917919449"
"18","1460917919952"
"56","1460917920456"
"79","1460917920960"
"65","1460917921465"
"26","1460917921968"
"5","1460917922475"
"41","1460917922978"
"69","1460917923481"
"17","1460917923983"
"5","1460917924486"
"52","1460917924989"
"68","1460917925491"
"71","1460917925996"
"55","1460917926498"
"16","1460917927001"
"58","1460917927504"
"85","1460917928006"
"80","1460917928510"
"44","1460917929013"
"99","1460917929515"
"19","1460917930018"
"12","1460917930521"
"96","1460917931024"
"96","1460917931529"
"28","1460917932032"
"2","1460917932534"
"59","1460917933037"
"72","1460917933540"
"14","1460917934044"
"96","1460917934547"
"21","1460917935050"
"66","1460917935553"
"23","1460917936056"
"90","1460917936559"
"64","1460917937062"
"64","1460917937565"
"32","1460917938067"
"20","1460917938570"
"66","1460917939075"
"90","1460917939577"
"88","1460917940081"
"12","1460917940584"
"61","1460917941087"
"54","1460917941589"
"35","1460917942094"
"66","1460917942597"
"81","1460917943100"
"88","1460917943604"
"63","1460917944107"
"18","1460917944611"
"35","1460917945113"
"74","1460917945616"
"7","1460917946119"
"11","1460917946621"
"28","1460917947126"
"88","1460917947631"
"29","1460917948133"
"36","1460917948636"
"90","1460917949139"
"6","1460917949641"
"6","1460917950143"
"18","1460917950648"
"0","1460917951153"
"10","1460917951655"
"49","1460917952159"
"85","1460917952661"
"98","1460917953164"
"55","1460917953668"
"28","1460917954171"
"27","1460917954674"
"79","1460917955176"
"94","1460917955680"
"1","1460917956183"
"52","1460917956686"
"95","1460917957189"
"56","1460917957693"
"80","1460917958195"
"32","1460917958701"
"70","1460917959204"
"15","1460917959707"
"43","1460917960210"
"10","1460917960715"
"10","1460917961218"
"12","1460917961720"
"83","1460917962223"
"31","1460917962726"
"22","1460917963229"
"19","1460917963733"
"25","1460917964235"
"96","1460917964738"
"17","1460917965241"
"76","1460917965745"
"71","1460917966247"
"57","1460917966750"
"17","1460917967253"
"77","1460917967756"
"39","1460917968260"
"71","1460917968762"
"34","1460917969267"
"98","1460917969770"
"54","1460917970272"
"52","1460917970775"
"87","1460917971279"
"33","1460917971781"
"80","1460917972284"
"21","1460917972786"
"14","1460917973288"
"32","1460917973793"
"64","1460917974296"
"45","1460917974798"
"2","1460917975300"
"98","1460917975803"
"42","1460917976306"
"78","1460917976809"
"4","1460917977312"
"50","1460917977814"
"82","1460917978317"
"25","1460917978820"
"25","1460917979324"
"5","1460917979829"
"86","1460917980332"
"83","1460917980835"
"71","1460917981338"
"16","1460917981843"
"44","1460917982346"
"33","1460917982849"
"31","1460917983351"
"46","1460917983854"
"56","1460917984356"
"89","1460917984860"
"4","1460917985363"
"29","1460917985865"
"55","1460917986367"
"16","1460917986872"
"42","1460917987375"
"47","1460917987878"
"17","1460917988381"
"8","1460917988883"
"63","1460917989386"
"12","1460917989888"
"63","1460917990391"
"9","1460917990894"
"18","1460917991397"
"37","1460917991900"
"45","1460917992404"
"33","1460917992907"
"18","1460917993409"
"28","1460917993912"
"75","1460917994414"
"48","1460917994918"
"10","1460917995421"
"45","1460917995924"
"7","1460917996427"
"85","1460917996929"
"6","1460917997431"
"45","1460917997933"
"13","1460917998436"
"20","1460917998939"
"62","1460917999442"
"13","1460917999945"
"93","1460918000448"
"88","1460918000951"
"99","1460918001454"
"77","1460918001961"
"47","1460918002466"
"4","1460918002969"
"15","1460918003472"
"6","1460918003974"
"92","1460918004477"
"41","1460918004980"
"56","1460918005483"
"71","1460918005985"
"47","1460918006488"
"73","1460918006991"
"68","1460918007494"
