"voltage","millis"
"82","1460883223642"
"75","1460883223749"
"58","1460883223853"
"99","1460883223956"
"94","1460883224059"
"80","1460883224163"
"17","1460883224268"
"71","1460883224371"
"79","1460883224474"
"97","1460883224577"
"61","1460883224682"
"47","1460883224788"
"16","1460883224891"
"16","1460883224994"
"45","1460883225098"
"45","1460883225204"
"51","1460883225311"
"29","1460883225413"
"52","1460883225517"
"59","1460883225620"
"78","1460883225725"
"46","1460883225827"
"11","1460883225933"
"87","1460883226037"
"8","1460883226140"
"86","1460883226243"
"8","1460883226347"
"40","1460883226451"
"88","1460883226553"
"79","1460883226656"
"19","1460883226761"
"71","1460883226865"
"59","1460883226969"
"87","1460883227072"
"87","1460883227175"
"42","1460883227278"
"35","1460883227381"
"80","1460883227483"
"36","1460883227585"
"24","1460883227688"
"45","1460883227791"
"41","1460883227893"
"78","1460883227996"
"21","1460883228099"
"79","1460883228201"
"63","1460883228305"
"91","1460883228409"
"6","1460883228511"
"46","1460883228614"
"16","1460883228717"
"62","1460883228820"
"25","1460883228924"
"45","1460883229026"
"53","1460883229129"
"65","1460883229232"
"72","1460883229335"
"48","1460883229438"
"57","1460883229541"
"41","1460883229646"
"76","1460883229750"
"49","1460883229853"
"25","1460883229958"
"33","1460883230061"
"7","1460883230163"
"6","1460883230269"
"36","1460883230372"
"27","1460883230476"
"61","1460883230579"
"84","1460883230681"
"10","1460883230784"
"73","1460883230887"
"44","1460883230991"
"55","1460883231095"
"78","1460883231198"
"96","1460883231302"
"39","1460883231406"
"49","1460883231509"
"11","1460883231612"
"45","1460883231714"
"5","1460883231818"
"47","1460883231921"
"82","1460883232024"
"37","1460883232127"
"32","1460883232230"
"0","1460883232334"
"79","1460883232438"
"10","1460883232540"
"35","1460883232645"
"22","1460883232748"
"15","1460883232851"
"64","1460883232953"
"67","1460883233056"
"41","1460883233158"
"28","1460883233261"
"30","1460883233364"
"97","1460883233467"
"29","1460883233570"
"87","1460883233676"
"78","1460883233779"
"67","1460883233883"
