"voltage","millis"
"4","1460919307669"
"22","1460919308178"
"70","1460919308681"
"43","1460919309184"
"47","1460919309687"
"66","1460919310194"
"75","1460919310699"
"40","1460919311203"
"3","1460919311706"
"84","1460919312208"
"73","1460919312711"
"91","1460919313215"
"8","1460919313718"
"9","1460919314221"
"47","1460919314724"
"29","1460919315227"
"59","1460919315729"
"54","1460919316232"
"44","1460919316735"
"10","1460919317238"
"35","1460919317740"
"70","1460919318243"
"42","1460919318747"
"78","1460919319250"
"56","1460919319754"
"96","1460919320257"
"33","1460919320760"
"47","1460919321264"
"85","1460919321769"
"81","1460919322271"
"68","1460919322774"
"93","1460919323278"
"33","1460919323782"
"1","1460919324284"
"73","1460919324787"
"65","1460919325290"
"94","1460919325794"
"71","1460919326298"
"38","1460919326801"
"75","1460919327304"
"90","1460919327806"
"5","1460919328309"
"69","1460919328812"
"43","1460919329315"
"78","1460919329818"
"86","1460919330321"
"50","1460919330825"
"19","1460919331327"
"97","1460919331830"
"26","1460919332334"
